,Partition_1,Partition_2,Partition_3,Partition_4,Partition_5,Partition_Average
Sequence Length,0.01030869902893301,0.00961510066796436,0.010339316692089089,0.008943970679461549,0.0107340888509831,0.009988235183886222
Molecular Weight,0.01087078715114196,0.010220606158885037,0.011254153761389324,0.011452037942556621,0.010723786575255858,0.010904274317845759
GRAVY,0.01452232350464129,0.015677276419914784,0.015875283554946978,0.014838832326903641,0.014297476833451799,0.015042238527971699
Isoelectric Point,0.00806557771826456,0.008583775500054416,0.007152722583640811,0.007637079146377856,0.008203912738684207,0.007928613537404369
Instability Index,0.023470879635517063,0.019416074153995717,0.019762638983148357,0.021852507858026213,0.021914931586355157,0.021283406443408502
Aromaticity,0.012955046002995557,0.013778982316637902,0.013338307543126388,0.013482873914797047,0.014245943493384601,0.013560230654188299
Charge at 7,0.009149799993312594,0.009311934504247199,0.008123698196857014,0.00984090152220988,0.008856509648857811,0.0090565687730969
Amino Acid Percent A,0.008337881696647547,0.00807471849490023,0.007879649137389644,0.00803670028753547,0.00805721784222927,0.008077233491740433
Amino Acid Percent C,0.009298220506526792,0.009087825464145907,0.009666133101265247,0.00914209194784073,0.00939259501603882,0.009317373207163498
Amino Acid Percent D,0.008936477147981951,0.008723764287964174,0.007462237938613756,0.008732203814393314,0.008812408079662328,0.008533418253723104
Amino Acid Percent E,0.009832526663957883,0.009215212535096842,0.007717153380441025,0.010260914270024804,0.009440491611968896,0.009293259692297889
Amino Acid Percent F,0.009268923876684564,0.012750215665143585,0.009154096725390049,0.009234669124498864,0.010162051969328316,0.010113991472209077
Amino Acid Percent G,0.011019169195112083,0.011651553896367278,0.010993464417013852,0.012126512791449284,0.010481539416705736,0.011254447943329648
Amino Acid Percent H,0.008791936266800762,0.00900395994901833,0.008440805340283488,0.008415645602742654,0.00921651092139196,0.008773771616047438
Amino Acid Percent I,0.013413207391633595,0.01341301521730812,0.013277956102409401,0.011295908144830082,0.013084532240667414,0.01289692381936972
