Alanyl-tRNA synthetases (EC 6.1.1.7)
Class: II
3D known: Yes

SYA1_LACP7  (A9KMW7)    , SYA2_LACP7  (A9KLZ5)    , SYAC_BOMMO  (P21894)    ,
SYAC_CAEEL  (O01541)    , SYAC_DICDI  (Q54Y20)    , SYAC_DROME  (Q9VLM8)    ,
SYAC_HUMAN  (P49588)    , SYAC_MESAU  (Q8CFX8)    , SYAC_MOUSE  (Q8BGQ7)    ,
SYAC_PONAB  (Q5RC02)    , SYAC_RAT    (P50475)    , SYAM_CAEEL  (Q23122)    ,
SYAM_DICDI  (Q86H43)    , SYAM_DROME  (Q9VRJ1)    , SYAM_HUMAN  (Q5JTZ9)    ,
SYAM_MOUSE  (Q14CH7)    , SYAM_RAT    (D3ZX08)    , SYAP_ARATH  (Q9FFC7)    ,
SYAP_MICPC  (C1MR42)    , SYAP_ORYSI  (B8B4H5)    , SYAP_ORYSJ  (B9FSH5)    ,
SYAP_OSTLU  (A4S051)    , SYAP_OSTTA  (Q015G2)    , SYAP_POPTR  (B9HQZ6)    ,
SYAP_SORBI  (C5Z7K4)    , SYA_ACAM1   (B0CFX4)    , SYA_ACET2   (A3DKB6)    ,
SYA_ACHLI   (A9NGN9)    , SYA_ACIAD   (Q6FCT2)    , SYA_ACIBC   (B2HWK7)    ,
SYA_ACIBT   (A3M3W2)    , SYA_ACIBY   (B0VAI3)    , SYA_ACIC1   (A0LUJ2)    ,
SYA_ACICJ   (A5FXC2)    , SYA_ACIFI   (Q56273)    , SYA_ACISJ   (A1W7D0)    ,
SYA_ACTP2   (A3N018)    , SYA_ACTP7   (B3H177)    , SYA_ACTPJ   (B0BNS8)    ,
SYA_ACTSZ   (A6VKD6)    , SYA_AERHH   (A0KPG1)    , SYA_AERPE   (Q9Y9X3)    ,
SYA_AERS4   (A4SS99)    , SYA_AGRFC   (Q8UE87)    , SYA_AKKM8   (B2UKT4)    ,
SYA_ALBFT   (Q221G2)    , SYA_ALCBS   (Q0VNK2)    , SYA_ALIB4   (A8EWI6)    ,
SYA_ALIF1   (Q5E7G5)    , SYA_ALKEH   (Q0A8K7)    , SYA_ALKMQ   (A6TQZ4)    ,
SYA_ALKOO   (A8MGI3)    , SYA_ANADE   (Q2IG40)    , SYA_ANADF   (A7HH87)    ,
SYA_ANAMM   (Q5PBJ0)    , SYA_ANAPZ   (Q2GJ36)    , SYA_AQUAE   (O67323)    ,
SYA_AQUPY   (Q9XDM3)    , SYA_ARATH   (P36428)    , SYA_ARCFU   (O28029)    ,
SYA_AROAE   (Q5P7Q3)    , SYA_ARTS2   (A0JX88)    , SYA_AYWBP   (Q2NJ60)    ,
SYA_AZOC5   (A8ICW8)    , SYA_AZOSB   (A1K991)    , SYA_BACAH   (A0RJ00)    ,
SYA_BACAN   (Q81LK0)    , SYA_BACC1   (P61697)    , SYA_BACCN   (A7GT67)    ,
SYA_BACCR   (Q817Z0)    , SYA_BACCZ   (Q634F6)    , SYA_BACFN   (Q5LHE6)    ,
SYA_BACFR   (Q64YB4)    , SYA_BACHK   (Q6HDD7)    , SYA_BACLD   (Q65GS5)    ,
SYA_BACMK   (A9VI09)    , SYA_BACP2   (A8FFM9)    , SYA_BACSU   (O34526)    ,
SYA_BACTN   (Q8A0M6)    , SYA_BACVZ   (A7Z735)    , SYA_BARBA   (P70865)    ,
SYA_BARBK   (A1USS4)    , SYA_BARHE   (Q6G2Z4)    , SYA_BARQU   (Q6FZF1)    ,
SYA_BART1   (A9IVY8)    , SYA_BAUCH   (Q1LTQ4)    , SYA_BDEBA   (P61698)    ,
SYA_BEII9   (B2IHX3)    , SYA_BIFAA   (A1A198)    , SYA_BIFLO   (Q8G5W9)    ,
SYA_BLOFL   (Q7VQG3)    , SYA_BLOPB   (Q493M6)    , SYA_BORA1   (Q2KY72)    ,
SYA_BORAP   (Q0SNU2)    , SYA_BORBR   (Q7WHL6)    , SYA_BORBU   (O51238)    ,
SYA_BORGP   (Q662E4)    , SYA_BORHD   (B2RZT0)    , SYA_BORPA   (Q7W6N4)    ,
SYA_BORPD   (A9IK31)    , SYA_BORPE   (Q7VXE1)    , SYA_BRADU   (Q89I89)    ,
SYA_BRASB   (A5EML9)    , SYA_BRASO   (A4YXQ6)    , SYA_BRUA2   (Q2YRU8)    ,
SYA_BRUA4   (A6X0E9)    , SYA_BRUAB   (Q57CU0)    , SYA_BRUC2   (A9M5L7)    ,
SYA_BRUME   (P67008)    , SYA_BRUO2   (A5VQX4)    , SYA_BRUSI   (B0CGZ9)    ,
SYA_BRUSU   (P67009)    , SYA_BUCAI   (P57483)    , SYA_BUCAP   (Q8K9E7)    ,
SYA_BUCBP   (P59420)    , SYA_BUCCC   (Q057H8)    , SYA_BURA4   (B1YNJ6)    ,
SYA_BURCH   (A0K6N4)    , SYA_BURCM   (Q0BG79)    , SYA_BURL3   (Q39HB7)    ,
