ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
4,Coagulation factor XIII A chain,F13A1,182309,M22001,P00488,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY; 5MHL; 5MHM; 5MHN; 5MHO,F13A1,F13A1,HGNC:3531,Humans,DB02340
5,"Nitric oxide synthase, inducible",NOS2,292242,L09210,P35228,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS; 5TP6; 5XN3; 6JWM; 6JWN; 6KEY,NOS2,NOS2A,HGNC:7873,Humans,DB01686; DB01835; DB01997; DB02044; DB02207; DB02234; DB02335; DB02462; DB02644; DB03100; DB03144; DB03305; DB03366; DB03449; DB03910; DB03953; DB04400; DB04534; DB06879; DB06916; DB07002; DB07003; DB07007; DB07008; DB07011; DB07029; DB07306; DB07318; DB07388; DB07389; DB07405; DB08214; DB08750
7,"Glycogen phosphorylase, liver form",PYGL,183353,M14636,P06737,PYGL_HUMAN,1EM6; 1EXV; 1FA9; 1FC0; 1L5Q; 1L5R; 1L5S; 1L7X; 1XOI; 2ATI; 2QLL; 2ZB2; 3CEH; 3CEJ; 3CEM; 3DD1; 3DDS; 3DDW; 8EMS,PYGL,PYGL,HGNC:9725,Humans,DB02089; DB02320; DB02379; DB03288; DB03496; DB03744; DB04522; DB07315; DB07395; DB07396; DB07968
8,"NAD(P) transhydrogenase, mitochondrial",NNT,1110520,U40490,Q13423,NNTM_HUMAN,1DJL; 1PT9; 1U31,NNT,NNT,HGNC:7863,Humans,DB01763; DB03461
9,Alcohol dehydrogenase class-3,ADH5,178134,M30471,P11766,ADHX_HUMAN,1M6H; 1M6W; 1MA0; 1MC5; 1MP0; 1TEH; 2FZE; 2FZW; 3QJ5; 8GV3,ADH5,ADH5,HGNC:253,Humans,DB03017; DB03704; DB04153
12,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,5565888,AF129133,Q9P0X4,CAC1I_HUMAN,7WLI; 7WLJ; 7WLK; 7WLL,CACNA1I,CACNA1I,HGNC:1396,Humans,DB09235; DB14009
13,Adenosine receptor A1,ADORA1,256155,S45235,P30542,AA1R_HUMAN,5N2S; 5UEN; 6D9H; 7LD3; 7LD4,ADORA1,ADORA1,HGNC:262,Humans,DB00824; DB02282; DB07776; DB07954; DB08517; DB08770
14,Tyrosine-protein kinase ABL1,ABL1,28237,X16416,P00519,ABL1_HUMAN,1AB2; 1AWO; 1BBZ; 1JU5; 1OPL; 1ZZP; 2ABL; 2E2B; 2F4J; 2FO0; 2G1T; 2G2F; 2G2H; 2G2I; 2GQG; 2HIW; 2HYY; 2HZ0; 2HZ4; 2HZI; 2O88; 2V7A; 3CS9; 3EG0; 3EG1; 3EG2; 3EG3; 3EGU; 3K2M; 3PYY; 3QRI; 3QRJ; 3QRK; 3T04; 3UE4; 3UYO; 4J9B; 4J9C; 4J9D; 4J9E; 4J9F; 4J9G; 4J9H; 4J9I; 4JJB; 4JJC; 4JJD; 4TWP; 4WA9; 4XEY; 4YC8; 4ZOG; 5DC0; 5DC4; 5DC9; 5HU9; 5MO4; 5NP2; 5OAZ; 6AMV; 6AMW; 6BL8; 6NPE; 6NPU; 6NPV; 6XR6; 6XR7; 6XRG; 7CC2; 7DT2; 7N9G; 7PVQ; 7PVR; 7PVS; 7PVV; 7PW2; 7W7X; 7W7Y; 8H7F; 8H7H; 8SSN,ABL1,ABL1,HGNC:76,Humans,DB03878; DB07831; DB08043; DB08052; DB08231; DB08339; DB08350; DB08583
16,Coagulation factor VIII,F8,182818,M14113,P00451,FA8_HUMAN,1CFG; 1D7P; 1FAC; 1IQD; 2R7E; 3CDZ; 3HNB; 3HNY; 3HOB; 3J2Q; 3J2S; 4BDV; 4KI5; 4PT6; 4XZU; 5K8D; 6MF0; 6MF2; 7K66; 7KBT; 7KWO; 8G6I; 8TY1; 9D5D,F8,F8,HGNC:3546,Humans,DB16007
17,Prostaglandin G/H synthase 1,PTGS1,387018,M31822,P23219,PGH1_HUMAN,6Y3C,PTGS1,PTGS1,HGNC:9604,Humans,DB01397; DB01837; DB02047; DB02110; DB02198; DB02379; DB02773; DB03667; DB03752; DB03753; DB04552; DB04557; DB07477; DB07981; DB07983; DB07984; DB09285; DB09288; DB09295; DB13308; DB14009
19,30S ribosomal protein S4,rpsD,42798,X02543,P0A7V8,RS4_ECOLI,1EG0; 1M5G; 2YKR; 3J9Y; 3J9Z; 3JA1; 4A2I; 4ADV; 4U1U; 4U1V; 4U20; 4U24; 4U25; 4U26; 4U27; 4V47; 4V48; 4V4H; 4V4Q; 4V4V; 4V4W; 4V50; 4V52; 4V53; 4V54; 4V55; 4V56; 4V57; 4V5B; 4V5H; 4V5Y; 4V64; 4V65; 4V66; 4V69; 4V6C; 4V6D; 4V6E; 4V6K; 4V6L; 4V6M; 4V6N; 4V6O; 4V6P; 4V6Q; 4V6R; 4V6S; 4V6T; 4V6V; 4V6Y; 4V6Z; 4V70; 4V71; 4V72; 4V73; 4V74; 4V75; 4V76; 4V77; 4V78; 4V79; 4V7A; 4V7B; 4V7C; 4V7D; 4V7I; 4V7S; 4V7T; 4V7U; 4V7V; 4V85; 4V89; 4V9C; 4V9D; 4V9O; 4V9P; 4WF1; 4WOI; 4WWW; 4YBB; 5AFI,,,,Escherichia coli (strain K12),DB00453
20,D(1A) dopamine receptor,DRD1,30397,X55760,P21728,DRD1_HUMAN,7CKW; 7CKX; 7CKY; 7CKZ; 7CRH; 7F0T; 7F1O; 7F1Z; 7F23; 7F24; 7JOZ; 7JV5; 7JVP; 7JVQ; 7LJC; 7LJD; 7X2C; 7X2D; 7X2F; 8IRR; 8JXR; 8JXS,DRD1,DRD1,HGNC:3020,Humans,DB01239; DB01614; DB01622
21,Thymidylate synthase,TMP1,7537304,J04230,P12461,TYSY_CANAL,,,,,Yeast,DB01643; DB02223; DB02235; DB02256; DB02301; DB02752; DB02899; DB03038; DB03157; DB03274; DB03345; DB03541; DB03558; DB03685; DB03761; DB03798; DB03800; DB03818; DB04457; DB04503; DB04530; DB04586; DB04696; DB07577; DB08204
26,Tubulin beta-1 chain,TUBB1,11230445,AJ292757,Q9H4B7,TBB1_HUMAN,,TUBB1,TUBB1,HGNC:16257,Humans,DB03010
29,Vascular endothelial growth factor receptor 1,FLT1,31432,X51602,P17948,VGFR1_HUMAN,1FLT; 1QSV; 1QSZ; 1QTY; 1RV6; 2XAC; 3HNG; 4CKV; 4CL7; 5ABD; 5EX3; 5T89,FLT1,FLT1,HGNC:3763,Humans,DB07288; DB07664; DB08009; DB09221
33,Insulin receptor,INSR,307070,M10051,P06213,INSR_HUMAN,1GAG; 1I44; 1IR3; 1IRK; 1P14; 1RQQ; 2AUH; 2B4S; 2HR7; 2MFR; 2Z8C; 3BU3; 3BU5; 3BU6; 3EKK; 3EKN; 3ETA; 3W11; 3W12; 3W13; 4IBM; 4OGA; 4XLV; 4XSS; 4XST; 4ZXB; 5E1S; 5HHW; 5J3H; 5KQV; 5U1M; 6HN4; 6HN5; 6PXV; 6PXW; 6SOF; 6VEP; 6VEQ; 7BW7; 7BW8; 7BWA; 7KD6; 7MQO; 7MQR; 7MQS; 7PG0; 7PG2; 7PG3; 7PG4; 7PHT; 7QID; 7S0Q; 7S8V; 7U6D; 7U6E; 7YQ3; 7YQ4; 7YQ5; 7YQ6; 8DWN; 8GUY; 8U4B; 8U4C; 8U4E; 8VJB; 8VJC,INSR,INSR,HGNC:6091,Humans,DB03909; DB08513; DB11564; DB16637
