ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
8,"NAD(P) transhydrogenase, mitochondrial",NNT,1110520,U40490,Q13423,NNTM_HUMAN,1DJL; 1PT9; 1U31,,NNT,HGNC:7863,Humans,DB09092
11,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,706839,U07681,P50213,IDH3A_HUMAN,"",,IDH3A,HGNC:5384,Humans,DB09092
12,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,5565888,AF129133,Q9P0X4,CAC1I_HUMAN,"",,CACNA1I,HGNC:1396,Humans,DB01388
14,Tyrosine-protein kinase ABL1,ABL1,28237,X16416,P00519,ABL1_HUMAN,1AB2; 1ABL; 1AWO; 1BBZ; 1JU5; 1OPL; 1ZZP; 2ABL; 2E2B; 2F4J; 2FO0; 2G1T; 2G2F; 2G2H; 2G2I; 2GQG; 2HIW; 2HYY; 2HZ0; 2HZ4; 2HZI; 2O88; 2V7A; 3CS9; 3EG0; 3EG1; 3EG2; 3EG3; 3EGU; 3K2M; 3PYY; 3QRI; 3QRJ; 3QRK; 3T04; 3UE4; 3UYO; 4J9B; 4J9C; 4J9D; 4J9E; 4J9F; 4J9G; 4J9H; 4J9I; 4JJB; 4JJC; 4JJD; 4TWP; 4WA9; 4XEY,,ABL1,HGNC:76,Humans,DB14989
16,Coagulation factor VIII,F8,182818,M14113,P00451,FA8_HUMAN,1CFG; 1D7P; 1FAC; 1IQD; 2R7E; 3CDZ; 3HNB; 3HNY; 3HOB; 3J2Q; 3J2S; 4BDV; 4KI5; 4PT6,,F8,HGNC:3546,Humans,DB00055
17,Prostaglandin G/H synthase 1,PTGS1,387018,M31822,P23219,PGH1_HUMAN,"",,PTGS1,HGNC:9604,Humans,DB00821; DB00870; DB00963; DB03783; DB04817; DB09215; DB13346; DB13501
20,D(1A) dopamine receptor,DRD1,30397,X55760,P21728,DRD1_HUMAN,1OZ5,,DRD1,HGNC:3020,Humans,DB00397; DB00679; DB00875; DB01038; DB01186; DB01200; DB01239
41,Coagulation factor V,F5,182412,M16967,P12259,FA5_HUMAN,1CZS; 1CZT; 1CZV; 1FV4; 1Y61; 3P6Z; 3P70; 3S9C,,F5,HGNC:3542,Humans,DB00055
43,Endothelin B receptor,EDNRB,182276,M74921,P24530,EDNRB_HUMAN,"",,EDNRB,HGNC:3180,Humans,DB06268
45,Muscarinic acetylcholine receptor M3,CHRM3,32324,X15266,P20309,ACM3_HUMAN,2CSA,,CHRM3,HGNC:1952,Humans,DB00342; DB00505; DB00767; DB01231; DB01239; DB09185; DB13720
