--------------------------------------------------------------------------------
        UniProt - Swiss-Prot Protein Knowledgebase
        SIB Swiss Institute of Bioinformatics; Geneva, Switzerland
        European Bioinformatics Institute (EBI); Hinxton, United Kingdom
        Protein Information Resource (PIR); Washington DC, USA
--------------------------------------------------------------------------------

Description: Translation initiation factors: list of entries
Name:        initfact.txt
Release:     2024_01 of 24-Jan-2024

--------------------------------------------------------------------------------


***********************
* I) Prokaryotic-type *
***********************

Note: also found in chloroplasts and mitochondria.

==========
IF1 (IF-1)
==========

IF1_ACAM1   (B0C1F3)     
IF1_ACET2   (A3DJJ6)     
IF1_ACHLI   (A9NEF6)     
IF1_ACIAD   (Q6FEV4)     
IF1_ACIBT   (A3M1T2)     
IF1_ACIC1   (A0LRP3)     
IF1_ACICJ   (A5G201)     
IF11_ACISJ  (A1W3R6)     
IF12_ACISJ  (A1W6I6)     
IF13_ACISJ  (A1WA22)     
IF1_ACTP2   (A3N1M8)     
IF1_ACTPJ   (B0BQG0)     
IF1_ACTSZ   (A6VQL8)     
IF1_AERHH   (A0KJD8)     
IF1_AERS4   (A4SNL6)     
IF1_AGRFC   (Q8UHX4)     
IF1_ALBFT   (Q21QP4)     
IF1_ALCBS   (Q0VQ14)     
IF1_ALIB4   (A8ESW4)     
IF1_ALIF1   (Q5E3Y7)     
IF1_ALKEH   (Q0A8P2)     
IF1_ALKMQ   (A6TWF8)     
IF1_ALKOO   (A8MLG4)     
IF1_ANADE   (Q2IQC5)     
IF1_ANADF   (A7HDD6)     
IF1_AQUAE   (O66488)     
IF11_AROAE  (Q5P6C0)     
IF12_AROAE  (Q5NYA7)     
IF1_ARTS2   (A0JZ53)     
IF1_AYWBP   (Q2NIX7)     
IF1_AZOC5   (A8I655)     
IF11_AZOSB  (A1K8R4)     
IF12_AZOSB  (A1KB06)     
IF1_BACAH   (A0R8K3)     
IF1_BACAN   (Q81VQ7)     
IF1_BACC1   (P61684)     
IF1_BACCN   (A7GK43)     
IF1_BACCR   (Q814C3)     
IF1_BACCZ   (Q63H67)     
IF1_BACFN   (Q5L8D1)     
IF1_BACFR   (Q64NN0)     
IF1_BACHK   (Q6HPN5)     
IF1_BACLD   (Q65P83)     
IF1_BACP2   (A8F9A8)     
IF1_BACSU   (P20458)     
IF1_BACTN   (Q8A498)     
IF1_BACVZ   (A7Z0R1)     
IF1_BARBK   (A1URE4)     
IF1_BARHE   (Q6G252)     
IF1_BARQU   (Q6FYU2)     
IF1_BART1   (A9IXQ8)     
IF1_BAUCH   (Q1LTE4)     
IF1_BIFAA   (A1A091)     
IF1_BIFLO   (Q8G3Z7)     
IF1_BLOFL   (Q7VR35)     
IF1_BLOPB   (Q492S0)     
IF11_BORA1  (Q2L254)     
IF12_BORA1  (Q2KW23)     
IF1_BORAP   (Q0SNZ5)     
IF11_BORBR  (Q7WRA2)     
IF12_BORBR  (Q7WMJ1)     
IF1_BORBU   (O51191)     
IF1_BORGP   (Q662J5)     
IF11_BORPA  (Q7W2D4)     
IF12_BORPA  (Q7WB25)     
IF11_BORPE  (Q7VZA3)     
IF12_BORPE  (Q7VTB0)     
IF1_BRADU   (Q89UH1)     
IF1_BRUA2   (Q2YPC1)     
IF1_BRUA4   (A6WVQ0)     
IF1_BRUAB   (P0C108)     
IF1_BRUC2   (A9M7T6)     
IF1_BRUME   (P62923)     
IF1_BRUO2   (A5VNK0)     
IF1_BRUSI   (B0CJM7)     
IF1_BRUSU   (Q8G2R5)     
IF1_BUCAI   (P57400)     
IF1_BUCAP   (Q8K9M8)     
IF1_BUCBP   (P59430)     
IF1_BUCCC   (Q057N2)     
IF11_BURCH  (A0K3P6)     
IF12_BURCH  (A0B0M1)     
IF11_BURCM  (Q0BJ25)     
IF12_BURCM  (Q0B8S0)     
IF11_BURL3  (Q396P7)     
IF12_BURL3  (Q39KE6)     
IF1_BURM7   (A3MRX5)     
IF1_BURM9   (A2S7J7)     
IF11_BURMA  (Q62HQ3)     
IF12_BURMA  (Q62GM6)     
